GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,SEASON
Lineups,-203954-1630178-,J. Embiid - T. Maxey,1610612755,PHI,50,33,17,0.66,1201.0,119.4,119.5,108.7,108.9,10.8,10.6,0.637,1.98,19.3,0.247,0.752,0.517,0.132,0.581,0.633,97.8,97.62,81.35,2453,0.56,29,27,117,68,11,24,60,25,34,38,26,101,34,44,51,33,26,111,26,3602355,2022-23
Lineups,-203954-1630178-,J. Embiid - T. Maxey,1610612755,PHI,36,29,7,0.806,958.0,121.3,122.4,110.2,110.0,11.1,12.4,0.649,2.47,19.9,0.272,0.722,0.508,0.113,0.57,0.621,102.2,101.85,84.88,2036,0.563,18,8,127,30,6,31,117,53,78,36,48,150,77,76,66,54,50,94,59,2874285,2023-24
Lineups,-203954-1630178-,J. Embiid - T. Maxey,1610612755,PHI,16,8,8,0.5,389.0,107.8,107.9,110.1,111.2,-2.4,-3.2,0.66,1.7,18.2,0.236,0.718,0.473,0.145,0.515,0.571,101.4,100.8,84.0,818,0.5,80,36,145,11,27,124,103,97,53,138,56,212,79,143,191,132,98,124,59,1166475,2024-25
Lineups,-203954-1630178-,J. Embiid - T. Maxey,1610612755,PHI,35,22,13,0.629,961.0,119.2,119.7,111.4,112.5,7.8,7.2,0.624,2.24,19.0,0.277,0.682,0.483,0.119,0.562,0.606,101.3,100.57,83.81,2019,0.535,36,28,142,34,9,23,105,39,65,29,28,128,83,115,59,44,39,157,42,2884395,2025-26
Lineups,-1630178-1642845-,T. Maxey - V. Edgecombe,1610612755,PHI,64,36,28,0.563,1698.0,114.3,115.3,111.4,113.3,2.8,2.0,0.584,1.96,17.3,0.309,0.668,0.484,0.124,0.529,0.571,101.1,99.75,83.13,3546,0.502,3,5,190,82,1,57,113,65,114,54,78,92,110,110,67,92,92,172,74,5092925,2025-26
Lineups,-1630178-1641737-,T. Maxey - A. Bona,1610612755,PHI,25,8,17,0.32,237.0,113.3,112.8,115.7,115.5,-2.3,-2.7,0.558,2.0,16.5,0.285,0.676,0.484,0.112,0.526,0.571,98.3,98.56,82.14,491,0.494,32,36,236,83,58,70,150,92,169,63,128,129,149,116,74,109,97,191,69,711495,2024-25
Lineups,-1630178-1641737-,T. Maxey - A. Bona,1610612755,PHI,62,35,27,0.565,766.0,112.4,113.1,108.6,109.9,3.8,3.2,0.528,1.53,15.5,0.312,0.643,0.483,0.138,0.53,0.578,103.4,102.46,85.38,1631,0.508,8,7,188,81,16,76,74,58,157,117,143,86,143,113,110,89,73,119,66,2297850,2025-26
