CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,DEFENSE_CATEGORY,SEASON,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,30.0,76,75,0.425,,,,,-0.02,Greater Than 15Ft,2022-23,,,,,,,,,,,,,108.0,304.0,0.355,0.375
1630178,Tyrese Maxey,1610612755,PHI,G,22.0,60,60,0.512,,,,,0.007,Greater Than 15Ft,2022-23,,,,,,,,,,,,,110.0,290.0,0.379,0.373
1629731,Dean Wade,1610612739,CLE,F-C,26.0,42,36,0.316,,,,,0.043,Greater Than 15Ft,2022-23,,,,,,,,,,,,,42.0,102.0,0.412,0.369
1630178,Tyrese Maxey,1610612755,PHI,G,23.0,70,69,0.404,116.0,325.0,0.357,0.368,-0.011,3 Pointers,2023-24,,,,,,,,,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,27.0,70,70,0.403,105.0,304.0,0.345,0.37,-0.024,3 Pointers,2023-24,,,,,,,,,,,,,,,,
2544,LeBron James,1610612747,LAL,F,39.0,70,70,0.427,106.0,303.0,0.35,0.367,-0.017,3 Pointers,2023-24,,,,,,,,,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,31.0,74,71,0.381,85.0,265.0,0.321,0.369,-0.048,3 Pointers,2023-24,,,,,,,,,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,25.0,46,46,0.341,79.0,211.0,0.374,0.377,-0.003,3 Pointers,2023-24,,,,,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,30.0,39,39,0.227,58.0,189.0,0.307,0.361,-0.054,3 Pointers,2023-24,,,,,,,,,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,27.0,52,48,0.241,28.0,105.0,0.267,0.364,-0.097,3 Pointers,2023-24,,,,,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,30.0,39,39,0.773,,,,,-0.077,2 Pointers,2023-24,309.0,644.0,0.48,0.557,,,,,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,23.0,70,70,0.596,,,,,-0.014,2 Pointers,2023-24,253.0,480.0,0.527,0.541,,,,,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,27.0,70,70,0.597,,,,,-0.026,2 Pointers,2023-24,233.0,451.0,0.517,0.542,,,,,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,31.0,74,73,0.619,,,,,-0.013,2 Pointers,2023-24,224.0,431.0,0.52,0.533,,,,,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,25.0,46,46,0.659,,,,,0.085,2 Pointers,2023-24,256.0,407.0,0.629,0.544,,,,,,,,,,,,
2544,LeBron James,1610612747,LAL,F,39.0,70,69,0.573,,,,,0.0,2 Pointers,2023-24,222.0,407.0,0.545,0.546,,,,,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,27.0,52,51,0.759,,,,,-0.003,2 Pointers,2023-24,178.0,330.0,0.539,0.542,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,30.0,39,39,0.421,,,,,-0.105,Less Than 6Ft,2023-24,,,,,188.0,351.0,0.536,0.641,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,23.0,70,68,0.352,,,,,-0.015,Less Than 6Ft,2023-24,,,,,174.0,283.0,0.615,0.63,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,27.0,70,67,0.359,,,,,-0.059,Less Than 6Ft,2023-24,,,,,154.0,271.0,0.568,0.627,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,25.0,46,46,0.4,,,,,0.095,Less Than 6Ft,2023-24,,,,,179.0,247.0,0.725,0.63,,,,,,,,
2544,LeBron James,1610612747,LAL,F,39.0,70,66,0.344,,,,,-0.006,Less Than 6Ft,2023-24,,,,,150.0,244.0,0.615,0.621,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612743,DEN,G,31.0,74,71,0.309,,,,,0.031,Less Than 6Ft,2023-24,,,,,142.0,215.0,0.66,0.629,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,27.0,52,49,0.414,,,,,-0.051,Less Than 6Ft,2023-24,,,,,106.0,180.0,0.589,0.64,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,30.0,39,39,0.513,,,,,-0.082,Less Than 10Ft,2023-24,,,,,,,,,223.0,427.0,0.522,0.604,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,23.0,70,69,0.448,,,,,-0.018,Less Than 10Ft,2023-24,,,,,,,,,205.0,361.0,0.568,0.586,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,27.0,70,69,0.456,,,,,-0.061,Less Than 10Ft,2023-24,,,,,,,,,181.0,344.0,0.526,0.587,,,,
2544,LeBron James,1610612747,LAL,F,39.0,70,68,0.43,,,,,-0.003,Less Than 10Ft,2023-24,,,,,,,,,177.0,305.0,0.58,0.583,,,,
