SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON
22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.516,63,0.174,0.862,0.409,0.126,0.166,0.121,0.024,0.397,0.464,247,213,74,181,107,2024-25
22024,203484,Kentavious Caldwell-Pope,1610612753,ORL,Orlando Magic,PRBallHandler,Offensive,0.392,77,0.095,0.817,0.447,0.033,0.183,0.017,0.0,0.383,0.468,60,49,21,47,26,2024-25
22024,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,PRRollman,Offensive,0.475,19,0.247,1.071,0.47,0.15,0.124,0.15,0.009,0.487,0.542,113,121,39,83,44,2024-25
22024,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,PRRollman,Offensive,0.673,58,0.212,1.175,0.698,0.222,0.127,0.206,0.032,0.651,0.698,63,74,30,43,13,2024-25
22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,PRRollman,Offensive,0.32,70,0.031,0.981,0.435,0.058,0.077,0.058,0.019,0.423,0.489,52,51,20,46,26,2024-25
22024,203484,Kentavious Caldwell-Pope,1610612753,ORL,Orlando Magic,PRRollman,Offensive,0.591,77,0.044,1.143,0.44,0.071,0.071,0.071,0.036,0.429,0.58,28,32,11,25,14,2024-25
22024,1629731,Dean Wade,1610612739,CLE,Cleveland Cavaliers,PRRollman,Offensive,0.469,59,0.099,1.067,0.357,0.067,0.033,0.033,0.033,0.367,0.518,30,32,10,28,18,2024-25
22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,PRRollman,Offensive,0.162,63,0.009,0.846,0.333,0.077,0.0,0.077,0.0,0.385,0.417,13,11,4,12,8,2024-25
22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.549,70,0.129,1.014,0.533,0.134,0.12,0.12,0.019,0.519,0.533,216,219,88,165,77,2024-25
22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Postup,Offensive,0.667,63,0.101,1.063,0.536,0.182,0.098,0.175,0.063,0.531,0.536,143,152,60,112,52,2024-25
22024,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.826,19,0.193,1.136,0.533,0.227,0.136,0.205,0.045,0.545,0.533,88,100,32,60,28,2024-25
22024,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.944,58,0.047,1.357,0.727,0.214,0.071,0.143,0.071,0.714,0.727,14,19,8,11,3,2024-25
22024,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.678,70,0.162,1.124,0.415,0.014,0.041,0.014,0.005,0.404,0.582,218,245,86,207,121,2024-25
22024,203484,Kentavious Caldwell-Pope,1610612753,ORL,Orlando Magic,Spotup,Offensive,0.578,77,0.353,1.081,0.39,0.04,0.031,0.036,0.013,0.395,0.536,223,241,82,210,128,2024-25
22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.354,63,0.166,0.987,0.386,0.094,0.043,0.089,0.03,0.404,0.483,235,232,81,210,129,2024-25
22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.538,70,0.106,1.062,0.401,0.034,0.062,0.034,0.006,0.393,0.559,178,189,65,162,97,2024-25
22024,1629731,Dean Wade,1610612739,CLE,Cleveland Cavaliers,Spotup,Offensive,0.57,59,0.566,1.076,0.389,0.035,0.041,0.035,0.017,0.378,0.559,172,185,63,162,99,2024-25
22024,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.666,52,0.119,1.119,0.442,0.113,0.057,0.113,0.038,0.459,0.554,159,178,61,138,77,2024-25
22024,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.136,19,0.098,0.867,0.324,0.133,0.089,0.133,0.044,0.356,0.405,45,39,12,37,25,2024-25
22024,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.99,58,0.054,1.5,0.846,0.188,0.063,0.188,0.063,0.813,0.846,16,24,11,13,2,2024-25
22024,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.808,70,0.051,1.118,0.456,0.088,0.088,0.088,0.015,0.456,0.561,68,76,26,57,31,2024-25
22024,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.253,52,0.068,0.758,0.316,0.066,0.099,0.066,0.0,0.33,0.375,91,69,24,76,52,2024-25
